,id,retweet_count,favorite_count
0,666020888022790149,511,2556
1,666029285002620928,47,130
2,666033412701032449,44,125
3,666044226329800704,141,298
4,666049248165822465,40,109
5,666050758794694657,58,133
6,666051853826850816,844,1212
7,666055525042405380,249,432
8,666057090499244032,141,297
9,666058600524156928,57,111
10,666063827256086533,217,474
11,666071193221509120,60,147
12,666073100786774016,163,321
13,666082916733198337,44,118
14,666094000022159362,73,164
15,666099513787052032,67,154
16,666102155909144576,12,80
17,666104133288665088,6550,14262
18,666268910803644416,35,103
19,666273097616637952,76,174
20,666287406224695296,64,149
21,666293911632134144,354,499
22,666337882303524864,90,198
23,666345417576210432,135,295
24,666353288456101888,72,219
25,666362758909284353,567,775
26,666373753744588802,93,188
27,666396247373291520,84,168
28,666407126856765440,40,110
29,666411507551481857,325,445
30,666418789513326592,46,126
31,666421158376562688,111,316
32,666428276349472768,83,165
33,666430724426358785,198,319
34,666435652385423360,53,165
35,666437273139982337,48,126
36,666447344410484738,20,105
37,666454714377183233,208,521
38,666644823164719104,83,234
39,666649482315059201,610,992
40,666691418707132416,47,189
41,666701168228331520,221,436
42,666739327293083650,66,239
43,666776908487630848,175,355
44,666781792255496192,200,391
45,666786068205871104,490,770
46,666804364988780544,94,244
47,666817836334096384,258,527
48,666826780179869698,97,256
49,666835007768551424,80,218
50,666837028449972224,562,829
51,666983947667116034,1002,2579
52,666996132027977728,96,247
53,667012601033924608,227,454
54,667044094246576128,51,186
55,667062181243039745,55,221
56,667065535570550784,48,168
57,667073648344346624,125,410
58,667090893657276420,129,339
59,667119796878725120,129,333
60,667138269671505920,2270,4680
61,667152164079423490,17559,48555
62,667160273090932737,63,262
63,667165590075940865,1171,2735
64,667171260800061440,92,227
65,667174963120574464,84,252
66,667176164155375616,472,620
67,667177989038297088,55,193
68,667182792070062081,6378,14576
69,667188689915760640,427,760
70,667192066997374976,109,393
71,667200525029539841,267,624
72,667211855547486208,248,500
73,667369227918143488,167,374
74,667393430834667520,58,198
75,667405339315146752,223,473
76,667435689202614272,85,310
77,667437278097252352,245,455
78,667443425659232256,597,803
79,667453023279554560,92,319
80,667455448082227200,60,194
81,667470559035432960,100,264
82,667491009379606528,232,545
83,667495797102141441,282,534
84,667502640335572993,224,540
85,667509364010450944,2193,6908
86,667517642048163840,197,375
87,667524857454854144,1148,1732
88,667530908589760512,249,482
89,667534815156183040,554,836
90,667538891197542400,67,209
91,667544320556335104,540,886
92,667546741521195010,129,340
93,667549055577362432,2358,5912
94,667550882905632768,33,0
95,667550904950915073,35,0
96,667724302356258817,328,496
97,667728196545200128,153,383
98,667766675769573376,225,453
99,667773195014021121,58,240
100,667782464991965184,249,422
101,667793409583771648,338,715
102,667801013445750784,97,337
103,667806454573760512,515,1080
104,667832474953625600,63,294
105,667861340749471744,80,248
106,667866724293877760,1068,3065
107,667873844930215936,420,645
108,667878741721415682,121,400
109,667885044254572545,506,839
110,667886921285246976,1130,1936
111,667902449697558528,387,867
112,667911425562669056,315,502
113,667915453470232577,58,215
114,667924896115245057,114,308
115,667937095915278337,822,1308
116,668113020489474048,252,682
117,668142349051129856,296,579
118,668154635664932864,326,509
119,668171859951755264,202,506
120,668190681446379520,201,667
121,668204964695683073,200,566
122,668221241640230912,205,524
123,668226093875376128,107,310
124,668237644992782336,2964,6381
125,668248472370458624,504,1019
126,668256321989451776,643,1337
127,668268907921326080,245,570
128,668274247790391296,238,849
129,668286279830867968,142,520
130,668291999406125056,33,254
131,668297328638447616,309,636
132,668466899341221888,536,909
133,668480044826800133,153,474
134,668484198282485761,245,438
135,668496999348633600,136,422
136,668507509523615744,112,335
137,668528771708952576,235,477
138,668537837512433665,78,257
139,668542336805281792,223,476
140,668544745690562560,237,532
141,668567822092664832,60,252
142,668614819948453888,326,626
143,668620235289837568,45,210
144,668623201287675904,810,1491
145,668625577880875008,140,399
146,668627278264475648,118,326
147,668631377374486528,330,738
148,668633411083464705,1720,2899
149,668636665813057536,506,1075
150,668641109086707712,559,1105
151,668643542311546881,551,910
152,668645506898350081,566,924
153,668655139528511488,227,547
154,668779399630725120,384,726
155,668815180734689280,283,588
156,668826086256599040,146,451
157,668852170888998912,173,466
158,668872652652679168,310,543
159,668892474547511297,159,408
160,668902994700836864,106,327
161,668932921458302977,59,276
162,668955713004314625,74,288
163,668960084974809088,248,729
164,668975677807423489,611,1345
165,668979806671884288,366,817
166,668981893510119424,320,555
167,668986018524233728,174,566
168,668988183816871936,494,928
169,668989615043424256,342,703
170,668992363537309700,362,764
171,668994913074286592,243,454
172,669000397445533696,6639,21446
173,669006782128353280,261,591
174,669015743032369152,388,760
175,669037058363662336,326,679
176,669203728096960512,498,1035
177,669214165781868544,178,457
178,669216679721873412,419,1220
179,669324657376567296,214,510
180,669327207240699904,120,590
181,669328503091937280,434,1038
182,669351434509529089,195,453
183,669353438988365824,267,665
184,669354382627049472,1325,2789
185,669359674819481600,129,378
186,669363888236994561,238,644
187,669367896104181761,164,473
188,669371483794317312,187,510
189,669375718304980992,760,1375
190,669393256313184256,79,375
191,669564461267722241,129,398
192,669567591774625800,59,241
193,669571471778410496,1052,1629
194,669573570759163904,148,448
195,669583744538451968,969,1532
196,669597912108789760,157,527
197,669603084620980224,386,972
198,669625907762618368,1890,3638
199,669661792646373376,459,829
200,669680153564442624,300,689
201,669682095984410625,137,365
202,669683899023405056,114,403
203,669749430875258880,67,278
204,669753178989142016,422,837
205,669923323644657664,59,242
206,669926384437997569,109,387
207,669942763794931712,174,522
208,669970042633789440,63,309
209,669972011175813120,168,455
210,669993076832759809,87,334
211,670003130994700288,96,342
212,670037189829525505,292,602
213,670040295598354432,115,771
214,670046952931721218,183,662
215,670055038660800512,344,689
216,670061506722140161,359,786
217,670069087419133954,255,650
218,670073503555706880,826,1616
219,670079681849372674,1307,2287
220,670086499208155136,261,716
221,670093938074779648,353,1063
222,670290420111441920,298,725
223,670303360680108032,141,438
224,670319130621435904,1290,3957
225,670338931251150849,117,438
226,670361874861563904,69,339
227,670374371102445568,280,762
228,670385711116361728,220,576
229,670403879788544000,163,444
230,670408998013820928,233,572
231,670411370698022913,943,2092
232,670417414769758208,337,586
233,670420569653809152,330,647
234,670421925039075328,667,1351
235,670427002554466305,172,532
236,670428280563085312,664,1424
237,670433248821026816,118,334
238,670434127938719744,672,1444
239,670435821946826752,546,1081
240,670442337873600512,205,666
241,670444955656130560,2066,6899
242,670449342516494336,700,1225
243,670452855871037440,217,563
244,670465786746662913,580,1000
245,670468609693655041,89,362
246,670474236058800128,799,1576
247,670668383499735048,5265,11028
248,670676092097810432,45,260
249,670679630144274432,301,769
250,670691627984359425,253,605
251,670704688707301377,386,784
252,670717338665226240,517,1248
253,670727704916926465,380,853
254,670733412878163972,529,987
255,670755717859713024,118,461
256,670764103623966721,440,1107
257,670778058496974848,74,337
258,670780561024270336,297,802
259,670782429121134593,814,1619
260,670783437142401025,411,840
261,670786190031921152,209,620
262,670789397210615808,250,682
263,670792680469889025,288,857
264,670797304698376195,247,754
265,670803562457407488,91,349
266,670804601705242624,994,2031
267,670807719151067136,509,1184
268,670811965569282048,281,1162
269,670815497391357952,1614,3262
270,670822709593571328,100,631
271,670823764196741120,198,799
272,670826280409919488,4248,5732
273,670832455012716544,229,756
274,670833812859932673,128,462
275,670838202509447168,727,1147
276,670840546554966016,205,614
277,670842764863651840,9157,25248
278,670995969505435648,305,1136
279,671109016219725825,458,1176
280,671115716440031232,807,1392
281,671122204919246848,2637,3598
282,671134062904504320,200,766
283,671138694582165504,421,957
284,671141549288370177,683,1205
285,671147085991960577,240,692
286,671151324042559489,160,690
287,671154572044468225,227,742
288,671159727754231808,85,387
289,671163268581498880,1154,1709
290,671166507850801152,368,899
291,671182547775299584,360,1154
292,671186162933985280,222,757
293,671347597085433856,449,995
294,671355857343524864,117,490
295,671357843010908160,154,413
296,671362598324076544,307,1144
297,671390180817915904,766,1460
298,671485057807351808,241,785
299,671486386088865792,213,598
300,671488513339211776,491,1041
301,671497587707535361,467,947
302,671504605491109889,3692,7235
303,671511350426865664,759,1659
304,671518598289059840,303,975
305,671520732782923777,551,1436
306,671528761649688577,268,863
307,671533943490011136,601,1049
308,671536543010570240,426,1212
309,671538301157904385,414,950
310,671542985629241344,593,1121
311,671544874165002241,1094,2044
312,671547767500775424,621,1391
313,671561002136281088,7562,13203
314,671729906628341761,4565,8769
315,671735591348891648,786,1485
316,671743150407421952,239,759
317,671744970634719232,802,1385
318,671763349865160704,965,1731
319,671768281401958400,546,1231
320,671789708968640512,3644,7268
321,671855973984772097,475,939
322,671866342182637568,522,1160
323,671874878652489728,580,1284
324,671879137494245376,721,1463
325,671882082306625538,1437,3563
326,671891728106971137,590,1368
327,671896809300709376,4337,8697
328,672068090318987265,539,1335
329,672082170312290304,381,966
330,672095186491711488,384,1027
331,672125275208069120,1197,2474
332,672139350159835138,750,1798
333,672160042234327040,376,895
334,672169685991993344,386,1051
335,672205392827572224,1206,2326
336,672222792075620352,221,808
337,672231046314901505,1054,1892
338,672239279297454080,334,919
339,672245253877968896,162,706
340,672248013293752320,633,1776
341,672254177670729728,770,1471
342,672256522047614977,1624,2895
343,672264251789176834,356,1176
344,672267570918129665,640,1538
345,672272411274932228,3542,6640
346,672466075045466113,563,1393
347,672475084225949696,733,1479
348,672481316919734272,128,734
349,672482722825261057,635,1170
350,672488522314567680,455,1148
351,672523490734551040,180,664
352,672538107540070400,387,1058
353,672591271085670400,195,749
354,672591762242805761,348,978
355,672594978741354496,631,1362
356,672604026190569472,426,1144
357,672609152938721280,405,1149
358,672614745925664768,613,1259
359,672622327801233409,516,1330
360,672640509974827008,336,1000
361,672828477930868736,510,1289
362,672834301050937345,594,1351
363,672877615439593473,385,1057
364,672884426393653248,861,1599
365,672898206762672129,440,917
366,672902681409806336,527,1409
367,672964561327235073,671,1464
368,672968025906282496,571,1352
369,672970152493887488,373,984
370,672975131468300288,963,1739
371,672980819271634944,1045,1863
372,672984142909456390,567,1288
373,672988786805112832,304,1006
374,672995267319328768,311,986
375,672997845381865473,756,2024
376,673148804208660480,659,1753
377,673213039743795200,886,2324
378,673240798075449344,763,1461
379,673270968295534593,387,1095
380,673295268553605120,3322,7740
381,673317986296586240,277,893
382,673320132811366400,8352,13894
383,673342308415348736,617,1306
384,673343217010679808,281,1002
385,673345638550134785,1346,2606
386,673350198937153538,223,762
387,673352124999274496,567,1704
388,673355879178194945,614,1536
389,673359818736984064,701,1496
390,673363615379013632,326,1052
391,673576835670777856,587,1420
392,673580926094458881,278,854
393,673583129559498752,388,1227
394,673612854080196609,760,1635
395,673636718965334016,386,1151
396,673656262056419329,254,737
397,673662677122719744,380,1287
398,673680198160809984,487,1413
399,673686845050527744,457,1490
400,673688752737402881,521,1300
401,673689733134946305,681,1793
402,673697980713705472,2066,3925
403,673700254269775872,598,1485
404,673705679337693185,417,1295
405,673707060090052608,412,1129
406,673708611235921920,305,1106
407,673709992831262724,286,875
408,673711475735838725,313,1068
409,673715861853720576,2199,3670
410,673887867907739649,264,963
411,673906403526995968,1713,3299
412,673919437611909120,385,1207
413,673956914389192708,1018,2018
414,674008982932058114,370,1237
415,674014384960745472,685,1616
416,674019345211760640,315,1170
417,674024893172875264,1298,1854
418,674036086168010753,227,871
419,674038233588723717,432,1137
420,674042553264685056,135,742
421,674045139690631169,674,1464
422,674051556661161984,506,1498
423,674053186244734976,1376,3443
424,674063288070742018,2349,6582
425,674075285688614912,303,1010
426,674082852460433408,179,778
427,674255168825880576,592,1519
428,674262580978937856,482,1347
429,674265582246694913,892,1698
430,674269164442398721,239,927
431,674271431610523648,766,1621
432,674291837063053312,6244,15285
433,674318007229923329,547,1462
434,674372068062928900,326,876
435,674394782723014656,606,1552
436,674410619106390016,491,1237
437,674416750885273600,148,706
438,674422304705744896,563,1483
439,674436901579923456,417,1157
